redshift impact(kpc) logMstar SF1/NSF-1 R200(kpc) logN det0/UL1/LL-1
0.2252  80 10.9 -1  316 14.21 0  
0.1248 230  8.8 1  95 13.17 1
0.1992 224  9.2 1 107 13.1  1
0.2065  37  8.8 1  91 14.37 0 
0.2678  75 10.4 -1  176 13.14 1
0.2706 345 10.5 -1  187 13.1  1
0.2804 244  8.7 1  87 13.07 1
0.3341 346  9.6 1 120 13.05 1
0.3416 310  9.7 1 125 13.9   0
0.2274  78 10.5 -1  193 13.32 1
0.2976 309 10.1 -1  145 13.53 1
0.3345 354  9.1 1  99 13.55 1
0.3494 212  9.6 1 119 13.55 1
0.3619 263  9.3 1 105 13.53 1
0.473  367 11.1 1 427 13.92 1
0.5071 396  9.2 1  99 13.67 1
0.1735  73  9.4 1 117 13.7   0
0.1815 199  8.2 1  75 13.33 1
0.296   48  8.8 1  91 13.29 1
0.4341 191  9.1 1  99 14.2   0
0.2197  83  9.7 1 125 14.52  0
0.0923  72  8.3 1  78 13.06 1
0.0969 378 10.6 -1  206 13.7  0 
0.1534 195 10.1 1 152 12.83 1
0.1672 116 10.5 1 198 12.85 1
0.2032 280 10.1 1 152 12.68 1
0.2925 399  9.2 1 104 12.78 1
0.2978 253 10.2 1 155 13.61  0
0.3422 168  9.7 1 124 12.64 1
0.3506 235 10.4 1 171 12.75 1
0.3614 235 11.0 1 397 13.94  0
0.1745 268  9.7 1 127 13.41 1
0.2777 310 10.9 -1  348 13.41 1
0.2987 224 10.5 1 195 13.81  0
0.3077 151 10.3 1 160 14.25  0
0.1229  16  7.9 1  67 14.16  0
0.1436  57  8.6 1  87 13.04 1
0.1613  21  8.1 1  72 14.17  0
0.1416 241  9.2 -1  107 13.5  1
0.1473 189  8.2 1  75 13.5  1
0.1993 298  8.3 1  78 13.44 1
0.2662 232  9.5 1 118 13.53 1
0.3069 134  9.6 1 120 14.53  0
0.3397 276  8.8 1  90 13.42 1
0.4899 282  9.1 1  97 13.43 1
0.5152 321 10.8 1 294 13.76  0
0.5217 226  9.2 1  99 13.74  0
0.5326 393 10.5 -1  166 13.42 1
0.5632 320  9.6 1 111 13.85  0
